,Tweet_Text,Tweet_Date_Time,Num_likes,Num_retweets,Num_images
103,"Our paper titled, ""Mind Your Language: Abuse and Offence Detection for Code-Switched Languages"", won the best stude… https://t.co/hV7uchpmWE",Fri Feb 01 07:30:53 +0000 2019,24,3,
104,"RT @PeterMartigny: Very interesting talk by @ChenguangZhu2 at the @stanfordnlp seminar on SDNet, a new architecture for conversational ques…",Fri Feb 01 03:15:27 +0000 2019,49,8,
105,"RT @NilayShri: @midasIIITD @RatnRajiv
@the_dhumketu 
https://t.co/PkUa18lF8p",Fri Feb 01 03:13:23 +0000 2019,4,2,
106,CFP for @ACMMM19 has been posted on WikiCFP. Kindly share with your colleagues and submit your work to #ACMMM 2019.… https://t.co/U2tLyg1Gjm,Thu Jan 31 06:57:04 +0000 2019,1,1,
107,"@midasIIITD Lab is pleased to share our novel work titled, Harnessing GANs for Addition of New Classes in VSR (… https://t.co/BkSMWfWX8H",Thu Jan 31 05:50:19 +0000 2019,4,2,
108,"RT @RatnRajiv: If you are attending @RealAAAI and liked our work, Lipper, for speech reconstruction from silent videos using lipreading the…",Thu Jan 31 05:32:43 +0000 2019,5,2,
109,"RT @RatnRajiv: Great to be part of this year's accepted papers at @RealAAAI from India. Out of 25 papers from India, 6 from @IIITDelhi. 
Co…",Wed Jan 30 19:46:11 +0000 2019,12,2,
110,RT @MIT: Want to squelch fake news? Let the readers take charge https://t.co/Jusr6TMUse https://t.co/KDHmFDP9aE,Wed Jan 30 17:18:40 +0000 2019,22,11,1.0
111,"If you are attending @RealAAAI 2019 at Honolulu, Hawaii, USA then attend our talk in the Student Abstract Session f… https://t.co/QPyeEUKWws",Wed Jan 30 05:00:29 +0000 2019,3,1,
112,"If you are attending @RealAAAI 2019 then visit following sessions for our papers.

3. Lipper: Synthesizing Thy Spee… https://t.co/C4G5ldlFt4",Tue Jan 29 19:42:10 +0000 2019,5,2,
113,"If you are attending @RealAAAI 2019 then visit following sessions for our papers.

2. Lipper: Speaker Independent S… https://t.co/ytddMaL0V3",Tue Jan 29 19:39:29 +0000 2019,3,1,
114,"If you are attending @RealAAAI 2019 then visit following sessions for our papers.

1. Mind Your Language: Abuse and… https://t.co/i1q32HQSGM",Tue Jan 29 19:31:35 +0000 2019,2,1,
115,"@TechAtBloomberg @debanjanbhucs It is a great experience to work with @debanjanbhucs.
@midasIIITD looks forward to… https://t.co/RgwF3FZdki",Tue Jan 29 18:05:01 +0000 2019,5,2,
116,RT @TechAtBloomberg: Learn more about the collaborative efforts of researchers @debanjanbhucs &amp; Daniel Preoţiuc-Pietro w/ academics around…,Tue Jan 29 18:03:31 +0000 2019,8,5,
117,RT @debanjanbhucs: We as researchers working at Bloomberg also get opportunities to collaborate with academia. Here are the outcomes of two…,Tue Jan 29 17:52:23 +0000 2019,6,2,
118,"RT @kdnuggets: 7 Steps to Mastering Basic Machine Learning with Python — 2019 Edition
 https://t.co/yZExGjOVWH https://t.co/sJC8p2kTyp",Tue Jan 29 14:52:24 +0000 2019,76,33,1.0
119,"@TechAtBloomberg @debanjanbhucs @IIITDelhi @RatnRajiv Congrats, team @midasIIITD! https://t.co/ncsgSUusUb",Tue Jan 29 05:17:27 +0000 2019,3,1,1.0
120,"RT @TechAtBloomberg: #Textanalytics researcher @debanjanbhucs joins @IIITDelhi's @RatnRajiv &amp; other co-authors to present ""Get IT Scored us…",Tue Jan 29 04:40:47 +0000 2019,8,5,
121,RT @kdnuggets: Top 16 #OpenSource #DeepLearning Libraries and Platforms #KDN https://t.co/TycxmMSCWs,Mon Jan 28 12:11:29 +0000 2019,11,8,
122,"RT @Princeton: Using data from more than 6,000 patients, @EPrinceton researchers applied #machinelearning methods to design a system that c…",Mon Jan 28 12:11:13 +0000 2019,51,20,
123,RT @CornellBirds: In 1929 Cornell Lab founder Arthur Allen made the very first recordings of wild birds. Follow @MacaulayLibrary as they sh…,Mon Jan 28 12:10:37 +0000 2019,178,67,
124,"RT @seb_ruder: Natural Questions: A new QA dataset consisting of 300,000+ naturally occurring questions (posed to Google search) with human…",Fri Jan 25 08:56:54 +0000 2019,387,141,
125,RT @kdnuggets: 10 More #Free Must-Read #Books for #MachineLearning and #DataScience #KDN https://t.co/EtMyAJFl6d,Thu Jan 24 15:43:25 +0000 2019,43,24,
126,RT @kdnuggets: How to build an API for a machine learning model in 5 minutes using Flask https://t.co/VFN7NmCqTu https://t.co/oZ8rXEGM5w,Thu Jan 24 15:42:59 +0000 2019,41,25,1.0
127,@ACMMM19 @ACM @abhinavdhall consider submitting your proposal.,Wed Jan 23 10:24:14 +0000 2019,0,0,
128,RT @ACMMM19: Jump start your @ACM #Multimedia workshop submission... First workshop titles are now online https://t.co/S9ZSaJTH1a But also…,Wed Jan 23 10:23:34 +0000 2019,10,10,
129,"@NUSComputing Congratulations! Yaman @the_dhumketu , Roger, Yifang, @RatnRajiv, Rohit, and Salik.",Tue Jan 22 14:04:40 +0000 2019,1,1,
130,"⚡️ “Achievements”

https://t.co/LvZt1GTY4C",Tue Jan 22 14:02:51 +0000 2019,3,1,
131,RT @NUSComputing: A/P Roger Zimmermann and his collaborators from IIIT Delhi developed a lipreading system that produces audio from lip mov…,Tue Jan 22 13:58:08 +0000 2019,6,2,
132,"Welcome one member to our @midasIIITD family, SkyWalker. 
It will strengthen our team with Falcon. 

#midas #server… https://t.co/IIZ8ZhVDJg",Mon Jan 21 16:29:31 +0000 2019,9,1,
133,Dr @RatnRajiv Shah delivered a research talk in the National Symposium on Natural Languages Processing and Artifici… https://t.co/YnxUtsbalX,Mon Jan 21 15:19:33 +0000 2019,6,2,
134,"RT @Scott__Hubbard: Don't miss this new article from @ted_dunning, who presents practical methods for near real-time monitoring of machine…",Mon Jan 21 09:33:03 +0000 2019,16,9,
135,RT @kaggle: Stuck inside with stir-crazy kids? 😫🤒😵Check out these downloadable machine learning projects designed for kids aged 8-16 👉https…,Mon Jan 21 09:32:03 +0000 2019,86,37,
136,"@Princeton @nyuniversity @nytimes Team @midasIIITD, do we have the same trend in India?",Mon Jan 21 06:54:14 +0000 2019,0,0,
137,RT @Harvard: Researchers find connections between worry and the development of heart disease https://t.co/yQ4miy8DHI,Sun Jan 20 05:49:19 +0000 2019,202,77,
138,"RT @Stanford: Researchers across Stanford are exploring ways to predict and prevent preterm births, and to improve care for the highest-ris…",Sat Jan 19 18:15:35 +0000 2019,42,8,
139,"Meet our members of @midasIIITD .

https://t.co/2PFbtoDtDR

We welcome new members to our group. 

MIDAS is a group… https://t.co/wpUTuw9Lf4",Sat Jan 19 09:59:16 +0000 2019,7,2,
140,RT @kdnuggets: How to Monitor Machine Learning Models in Real-Time https://t.co/9UpYVzlQWI https://t.co/9lK9eoOVWe,Sat Jan 19 03:27:33 +0000 2019,20,9,1.0
141,"Congratulations! @Leomi7 @ashualloy @RatnRajiv Ayush, Himanshu, Aditya, Deepanshu, @isarth23 @rgrgrajat1",Fri Jan 18 10:25:41 +0000 2019,6,0,
142,RT @jasonbaumgartne: #Pushshift is happy to announce a new dataset for your ML / NLP / Research pleasure -- Data for over 340+ Stackexchang…,Fri Jan 18 10:17:02 +0000 2019,48,20,
143,"Proceedings of FIRE 2018 is online now at https://t.co/vzLpwVp1Qb
Our 4 papers are:
1. Fully Automatic Approach to… https://t.co/UzZiKlthB9",Fri Jan 18 10:16:26 +0000 2019,10,2,
144,RT @hseas: Only 20 percent of pediatric cancer patients in lower- and middle-income countries will survive. Engineering students partnered…,Thu Jan 17 04:04:16 +0000 2019,60,26,
145,RT @Cornell: Can virtual reality transform medicine? Psychologist JoAnn Difede @WeillCornell began using #VR with soldiers and survivors fr…,Thu Jan 17 04:03:55 +0000 2019,24,11,
146,RT @kdnuggets: Explainable Artificial Intelligence https://t.co/rllNxnm73U https://t.co/mAYFPMJF8P,Sun Jan 13 16:45:48 +0000 2019,46,20,1.0
147,@abhinavdhall @RatnRajiv Emailed you.,Sun Jan 13 16:40:46 +0000 2019,0,0,
148,"RT @kdnuggets: A comprehensive list of #MachineLearning Resources: Open Courses, Textbooks, #Tutorials, Cheat Sheets and more #KDN https://…",Sun Jan 13 16:03:25 +0000 2019,98,41,
